Estado;Bacia;Nome Poço;Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Tempo de Produção (hs por mês)
Bahia;Recôncavo;1-ALV-11-BA;1-ALV-198-A1-BA;Caburé Leste;Alvopetro;4,861E+16;2020/07;0;0;0;0
Bahia;Recôncavo;1-ALV-2-BA;1ALV15502;TIÊ;Maha Energy;48610001427200839A;2020/07;0;0;0;0
Bahia;Recôncavo;1-ALV-7D-BA;1-ALV-197-2-BA;CABURÉ;Alvopetro;4,861E+16;2020/07;0;18,967;18,967;618
Bahia;Recôncavo;1-ALV-8D-BA;1-ALV-182-B1-BA;Mãe-da-lua;Alvopetro;4,861E+16;2020/07;0;0;0;0
Sergipe;Sergipe;1-AN-1-SE;1AN  0001  SE;ANGELIM;Petrobras;4,8E+14;2020/07;0;0;0;0
Sergipe;Sergipe;1-AN-3-SE;1AN  0003  SE;ANGELIM;Petrobras;4,8E+14;2020/07;0;0;0;0
Rio Grande do Norte;Potiguar;1-AP-2-RN;1AP  0002  RN;CANTO DO AMARO;Petrobras;4,8E+14;2020/07;6,6353;0;6,6353;744
Rio Grande do Norte;Potiguar;1-ARG-1-RN;1ARG 0001  RN;ALTO DO RODRIGUES;Petrobras;4,8E+14;2020/07;15,1783;0;15,1783;620
Sergipe;Sergipe;1-ARI-1-SE;1ARI 0001  SE;ARUARI;Petrobras;4,8E+14;2020/07;0;0;0;0
Rio Grande do Norte;Potiguar;1-AURI-22-RN;1AURI22RN;JOÃO DE BARRO;Imetame;4,861E+14;2020/07;0;0;0;0
Rio Grande do Norte;Potiguar;1-AURI-2-RN;1AURI2RN;JOÃO DE BARRO;Imetame;4,861E+14;2020/07;0;0;0;0
Rio Grande do Norte;Potiguar;1-BAR-1-RN;1BAR 0001  RN;BARRINHA;Petrobras;4,8E+14;2020/07;0;0;0;0
Bahia;Recôncavo;1-BB-3-BA;1BB  0003  BA;BIRIBA;Petrobras;4,8E+14;2020/07;0;5,1631;5,1631;744
Rio Grande do Norte;Potiguar;1-BE-1D-RN;1BE  0001D RN;BOA ESPERANÇA;Potiguar E&P S.A.;4,8E+14;2020/07;0,2969;0;0,2969;723
Rio Grande do Norte;Potiguar;1-BEN-3-RN;1BEN 0003  RN;BOA VISTA;Petrobras;4,861E+12;2020/07;0,0233;0;0,0233;739
Rio Grande do Norte;Potiguar;1-BEN-3-RN;1BEN 0003  RN;BENFICA;Petrobras;4,861E+12;2020/07;0,7485;0;0,7485;739
Espírito Santo;Espírito Santo;1-BGM-1-ES;1-SDR-1-ES;PA-1BGM1ES_EST-T-476;BGM;4,861E+16;2020/07;30,0714;0;30,0714;373
Bahia;Recôncavo;1-BL-1-BA;1BL  0001  BA;BOM LUGAR;Alvopetro;4,861E+16;2020/07;0;0;0;0
Rio Grande do Norte;Potiguar;1-BRSA-1000-RN;1CS2RN;PATURI;Potiguar E&P S.A.;4,861E+16;2020/07;31,2489;0;31,2489;740
Rio Grande do Norte;Potiguar;1-BRSA-1038-RN;1MU2RN;MAÇARICO;Potiguar E&P S.A.;4,861E+16;2020/07;2,4435;0;2,4435;744
Bahia;Recôncavo;1-BRSA-1056-BA;1SVE1BA;PARIRI;Petrobras;4,861E+16;2020/07;0;0;0;0
Bahia;Recôncavo;1-BRSA-1299D-BA;1SQ1DBA;JANDAIA;Petrobras;4,861E+14;2020/07;30,8584;0;30,8584;634
Rio Grande do Norte;Potiguar;1-BRSA-12-RN;1ALC4RN;PERIQUITO;Phoenix Óleo & Gás;4,861E+14;2020/07;0;0;0;374
Bahia;Recôncavo;1-BRSA-1304-BA;1FPA1BA;GURIATÃ;Petrobras;4,861E+16;2020/07;42,2117;0;42,2117;744
Espírito Santo;Espírito Santo;1-BRSA-1318-ES;1JQT1ES;Cancã Leste;Petrobras;4,861E+16;2020/07;0;0;0;0
Bahia;Recôncavo;1-BRSA-1331D-BA;1FCP1DBA;Canário da Terra;Petrobras;4,861E+16;2020/07;49,7471;0;49,7471;744
Espírito Santo;Espírito Santo;1-BRSA-258-ES;1CPS4ES;INHAMBU;Petrobras;4,861E+14;2020/07;0;0;0;0
Espírito Santo;Espírito Santo;1-BRSA-264-ES;1CPS3ES;INHAMBU;Petrobras;4,861E+14;2020/07;0;0;0;0
