Estado;Bacia;Nome Poço;Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Tempo de Produção (hs por mês)
Bahia;Recôncavo;1-ALV-2-BA          ;1ALV15502           ;TIÊ;Maha Energy;48610001427200839A            ;2020/03;0;0;0;0
Bahia;Recôncavo;1-ALV-8D-BA         ;1-ALV-182-B1-BA     ;Mãe-da-lua;Alvopetro;4,861E+16;2020/03;0,8552;0;0,8552;155
Sergipe;Sergipe;1-AN-1-SE           ;1AN  0001  SE       ;ANGELIM;Petrobras;4,8E+14;2020/03;0;0;0;0
Sergipe;Sergipe;1-AN-3-SE           ;1AN  0003  SE       ;ANGELIM;Petrobras;4,8E+14;2020/03;0;0;0;0
Rio Grande do Norte;Potiguar;1-AP-2-RN           ;1AP  0002  RN       ;CANTO DO AMARO;Petrobras;4,8E+14;2020/03;10,5924;0;10,5924;741
Rio Grande do Norte;Potiguar;1-ARG-1-RN          ;1ARG 0001  RN       ;ALTO DO RODRIGUES;Petrobras;4,8E+14;2020/03;7,5502;0;7,5502;744
Sergipe;Sergipe;1-ARI-1-SE          ;1ARI 0001  SE       ;ARUARI;Petrobras;4,8E+14;2020/03;7,4721;0;7,4721;724
Rio Grande do Norte;Potiguar;1-AURI-22-RN        ;1AURI22RN           ;JOÃO DE BARRO;Imetame;4,861E+14;2020/03;0;0;0;0
Rio Grande do Norte;Potiguar;1-AURI-2-RN         ;1AURI2RN            ;JOÃO DE BARRO;Imetame;4,861E+14;2020/03;0;0;0;0
Rio Grande do Norte;Potiguar;1-BAR-1-RN          ;1BAR 0001  RN       ;BARRINHA;Petrobras;4,8E+14;2020/03;2,7137;0;2,7137;728
Bahia;Recôncavo;1-BB-3-BA           ;1BB  0003  BA       ;BIRIBA;Petrobras;4,8E+14;2020/03;0;6,1796;6,1796;744
Rio Grande do Norte;Potiguar;1-BE-1D-RN          ;1BE  0001D RN       ;BOA ESPERANÇA;Potiguar E&P S.A.;4,8E+14;2020/03;7,25;0;7,25;737
Rio Grande do Norte;Potiguar;1-BEN-3-RN          ;1BEN 0003  RN       ;BOA VISTA;Petrobras;4,861E+12;2020/03;0,1681;0;0,1681;738
Rio Grande do Norte;Potiguar;1-BEN-3-RN          ;1BEN 0003  RN       ;BENFICA;Petrobras;4,861E+12;2020/03;5,3916;0;5,3916;738
Espírito Santo;Espírito Santo;1-BGM-1-ES          ;1-SDR-1-ES          ;PA-1BGM1ES_EST-T-476;BGM;4,861E+16;2020/03;29,3618;0;29,3618;223
Bahia;Recôncavo;1-BL-1-BA           ;1BL  0001  BA       ;BOM LUGAR;Alvopetro;4,861E+16;2020/03;0;0;0;0
