Estado;Bacia;Nome Poço;Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Tempo de Produção (hs por mês)
Bahia;Recôncavo;1-ALV-11-BA         ;1-ALV-198-A1-BA     ;Caburé Leste;Alvopetro;4,861E+16;2020/05;0;0;0;0
Bahia;Recôncavo;1-ALV-2-BA          ;1ALV15502           ;TIÊ;Maha Energy;48610001427200839A            ;2020/05;0;0;0;0
Bahia;Recôncavo;1-ALV-7D-BA         ;1-ALV-197-2-BA      ;CABURÉ;Alvopetro;4,861E+16;2020/05;0;0,5639;0,5639;25
Bahia;Recôncavo;1-ALV-8D-BA         ;1-ALV-182-B1-BA     ;Mãe-da-lua;Alvopetro;4,861E+16;2020/05;7,8174;0;7,8174;149
Sergipe;Sergipe;1-AN-1-SE           ;1AN  0001  SE       ;ANGELIM;Petrobras;4,8E+14;2020/05;0;0;0;0
Sergipe;Sergipe;1-AN-3-SE           ;1AN  0003  SE       ;ANGELIM;Petrobras;4,8E+14;2020/05;0;0;0;0
Rio Grande do Norte;Potiguar;1-AP-2-RN           ;1AP  0002  RN       ;CANTO DO AMARO;Petrobras;4,8E+14;2020/05;8,2417;0;8,2417;744
Rio Grande do Norte;Potiguar;1-ARG-1-RN          ;1ARG 0001  RN       ;ALTO DO RODRIGUES;Petrobras;4,8E+14;2020/05;10,9256;0;10,9256;736
Sergipe;Sergipe;1-ARI-1-SE          ;1ARI 0001  SE       ;ARUARI;Petrobras;4,8E+14;2020/05;0;0;0;0
Rio Grande do Norte;Potiguar;1-AURI-22-RN        ;1AURI22RN           ;JOÃO DE BARRO;Imetame;4,861E+14;2020/05;0;0;0;0
Rio Grande do Norte;Potiguar;1-AURI-2-RN         ;1AURI2RN            ;JOÃO DE BARRO;Imetame;4,861E+14;2020/05;0;0;0;0
Rio Grande do Norte;Potiguar;1-BAR-1-RN          ;1BAR 0001  RN       ;BARRINHA;Petrobras;4,8E+14;2020/05;0;0;0;0
Bahia;Recôncavo;1-BB-3-BA           ;1BB  0003  BA       ;BIRIBA;Petrobras;4,8E+14;2020/05;0;5,3025;5,3025;744
Rio Grande do Norte;Potiguar;1-BE-1D-RN          ;1BE  0001D RN       ;BOA ESPERANÇA;Potiguar E&P S.A.;4,8E+14;2020/05;10,9495;0;10,9495;742
Rio Grande do Norte;Potiguar;1-BEN-3-RN          ;1BEN 0003  RN       ;BOA VISTA;Petrobras;4,861E+12;2020/05;0,0607;0;0,0607;739
Rio Grande do Norte;Potiguar;1-BEN-3-RN          ;1BEN 0003  RN       ;BENFICA;Petrobras;4,861E+12;2020/05;1,9478;0;1,9478;739
Espírito Santo;Espírito Santo;1-BGM-1-ES          ;1-SDR-1-ES          ;PA-1BGM1ES_EST-T-476;BGM;4,861E+16;2020/05;26,3442;0;26,3442;272
Bahia;Recôncavo;1-BL-1-BA           ;1BL  0001  BA       ;BOM LUGAR;Alvopetro;4,861E+16;2020/05;0;0;0;0
Rio Grande do Norte;Potiguar;1-BRSA-1000-RN      ;1CS2RN              ;PATURI;Potiguar E&P S.A.;4,861E+16;2020/05;34,9178;0;34,9178;743
Rio Grande do Norte;Potiguar;1-BRSA-1038-RN      ;1MU2RN              ;MAÇARICO;Potiguar E&P S.A.;4,861E+16;2020/05;2,6365;0;2,6365;736
Bahia;Recôncavo;1-BRSA-1056-BA      ;1SVE1BA             ;PARIRI;Petrobras;4,861E+16;2020/05;0;0;0;0
Bahia;Recôncavo;1-BRSA-1299D-BA     ;1SQ1DBA             ;JANDAIA;Petrobras;4,861E+14;2020/05;17,5023;0;17,5023;529
Rio Grande do Norte;Potiguar;1-BRSA-12-RN        ;1ALC4RN             ;PERIQUITO;Phoenix Óleo & Gás;4,861E+14;2020/05;0;0;0;270
Bahia;Recôncavo;1-BRSA-1304-BA      ;1FPA1BA             ;GURIATÃ;Petrobras;4,861E+16;2020/05;47,509;0;47,509;640
Espírito Santo;Espírito Santo;1-BRSA-1318-ES      ;1JQT1ES             ;Cancã Leste;Petrobras;4,861E+16;2020/05;0;0;0;0
Bahia;Recôncavo;1-BRSA-1331D-BA     ;1FCP1DBA            ;Canário da Terra;Petrobras;4,861E+16;2020/05;57,1683;0;57,1683;729
Espírito Santo;Espírito Santo;1-BRSA-258-ES       ;1CPS4ES             ;INHAMBU;Petrobras;4,861E+14;2020/05;0;0;0;0
Espírito Santo;Espírito Santo;1-BRSA-264-ES       ;1CPS3ES             ;INHAMBU;Petrobras;4,861E+14;2020/05;0;0;0;0
Rio Grande do Norte;Potiguar;1-BRSA-288A-RN      ;1VP1ARN             ;CANTO DO AMARO;Petrobras;4,8E+14;2020/05;10,8887;0;10,8887;743
Rio Grande do Norte;Potiguar;1-BRSA-309-RN       ;1VP2RN              ;CANTO DO AMARO;Petrobras;4,8E+14;2020/05;16,8869;0;16,8869;742
Alagoas;Alagoas;1-BRSA-313D-AL      ;1FRO3DAL            ;ANAMBÉ;Petrobras;4,861E+14;2020/05;40,4607;0;40,4607;734
